scale,variant,method,preference,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,feasible,violation_count,runtime_seconds,train_time_seconds
small,no_preference_token,PPO,0.00_1.00,1660.3190460000003,9.611544075857285,0.9769220048598933,0.5344642127774457,9.611544075857285,0.5344642127774457,0.5344642127774457,True,0,0.290623200009577,1.0979304000502452
small,no_route_arc_tokens,PPO,1.00_0.00,1614.353046,17.08578409953668,0.9498758796084998,0.9500804528776801,1614.353046,0.9498758796084998,0.9498758796084998,True,0,0.29544160002842546,1.040076999925077
small,no_route_arc_tokens,PPO,0.75_0.25,1614.353046,10.953474791070585,0.9498758796084998,0.6090842673334959,1213.5031531977675,0.8646779765397489,0.8646779765397489,True,0,0.30441179999615997,1.040076999925077
small,no_route_arc_tokens,PPO,0.50_0.50,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,834.9652950379285,0.7556931088186694,0.7556931088186694,True,0,0.304446000023745,1.040076999925077
small,no_route_arc_tokens,PPO,0.25_0.75,1660.3190460000003,9.611544075857285,0.9769220048598933,0.5344642127774457,422.288419556893,0.6450786607980576,0.6450786607980576,True,0,0.29081080004107207,1.040076999925077
small,no_route_arc_tokens,PPO,0.00_1.00,1660.3190459999998,9.611544075857285,0.9769220048598931,0.5344642127774457,9.611544075857285,0.5344642127774457,0.5344642127774457,True,0,0.28952749993186444,1.040076999925077
large,heuristic,Heuristic,1.00_0.00,30261.408023000007,2053.8653122673177,1.0,1.0,30261.408023000007,1.0,1.0,True,0,0.0,
large,heuristic,Heuristic,0.75_0.25,30261.408023000007,2053.8653122673177,1.0,1.0,23209.522345316833,1.0,1.0,True,0,0.0,
large,heuristic,Heuristic,0.50_0.50,30261.408023000007,2053.8653122673177,1.0,1.0,16157.636667633662,1.0,1.0,True,0,0.0,
large,heuristic,Heuristic,0.25_0.75,30261.408023000007,2053.8653122673177,1.0,1.0,9105.75098995049,1.0,1.0,True,0,0.0,
large,heuristic,Heuristic,0.00_1.00,30261.408023000007,2053.8653122673177,1.0,1.0,2053.8653122673177,1.0,1.0,True,0,0.0,
large,full_transformer,PPO,1.00_0.00,30261.408023000007,2053.8653122673177,1.0,1.0,30261.408023000007,1.0,1.0,True,0,0.8124821999808773,3.464131799992174
large,full_transformer,PPO,0.75_0.25,30261.408023000007,2053.8653122673177,1.0,1.0,23209.522345316833,1.0,1.0,True,0,0.8250577000435442,3.464131799992174
large,full_transformer,PPO,0.50_0.50,30261.408023000007,2053.8653122673177,1.0,1.0,16157.636667633662,1.0,1.0,True,0,0.8263153000734746,3.464131799992174
large,full_transformer,PPO,0.25_0.75,30261.408023000007,2053.8653122673177,1.0,1.0,9105.75098995049,1.0,1.0,True,0,0.8348949999781325,3.464131799992174
large,full_transformer,PPO,0.00_1.00,30261.408023000007,2053.8653122673177,1.0,1.0,2053.8653122673177,1.0,1.0,True,0,0.8192637999309227,3.464131799992174
large,hybrid_transformer_fc,PPO,1.00_0.00,30261.408023000007,2053.8653122673177,1.0,1.0,30261.408023000007,1.0,1.0,True,0,1.1134228000883013,5.141780399950221
large,hybrid_transformer_fc,PPO,0.75_0.25,30261.408023000007,2053.8653122673177,1.0,1.0,23209.522345316833,1.0,1.0,True,0,0.9680313999997452,5.141780399950221
large,hybrid_transformer_fc,PPO,0.50_0.50,30261.408023000007,2053.8653122673177,1.0,1.0,16157.636667633662,1.0,1.0,True,0,0.9739822000265121,5.141780399950221
large,hybrid_transformer_fc,PPO,0.25_0.75,30261.408023000007,2053.8653122673177,1.0,1.0,9105.75098995049,1.0,1.0,True,0,1.053635900025256,5.141780399950221
large,hybrid_transformer_fc,PPO,0.00_1.00,30261.408023000007,2053.8653122673177,1.0,1.0,2053.8653122673177,1.0,1.0,True,0,0.9484784000087529,5.141780399950221
large,no_preference_token,PPO,1.00_0.00,30261.408023000007,2053.8653122673177,1.0,1.0,30261.408023000007,1.0,1.0,True,0,0.9501146000111476,4.703415099997073
large,no_preference_token,PPO,0.75_0.25,30261.408023000007,2053.8653122673177,1.0,1.0,23209.522345316833,1.0,1.0,True,0,1.0130812000716105,4.703415099997073
large,no_preference_token,PPO,0.50_0.50,30261.408023000007,2053.8653122673177,1.0,1.0,16157.636667633662,1.0,1.0,True,0,0.8448565000435337,4.703415099997073
large,no_preference_token,PPO,0.25_0.75,30261.408023000007,2053.8653122673177,1.0,1.0,9105.75098995049,1.0,1.0,True,0,0.8215834000147879,4.703415099997073
large,no_preference_token,PPO,0.00_1.00,30261.408023000007,2053.8653122673177,1.0,1.0,2053.8653122673177,1.0,1.0,True,0,0.8321480000158772,4.703415099997073
large,no_route_arc_tokens,PPO,1.00_0.00,30261.408023000007,2053.8653122673177,1.0,1.0,30261.408023000007,1.0,1.0,True,0,0.6934116000775248,2.5241834999760613
large,no_route_arc_tokens,PPO,0.75_0.25,30261.408023000007,2053.8653122673177,1.0,1.0,23209.522345316833,1.0,1.0,True,0,0.7025271999882534,2.5241834999760613
large,no_route_arc_tokens,PPO,0.50_0.50,30261.408023000007,2053.8653122673177,1.0,1.0,16157.636667633662,1.0,1.0,True,0,0.712497100001201,2.5241834999760613
large,no_route_arc_tokens,PPO,0.25_0.75,30261.408023000007,2053.8653122673177,1.0,1.0,9105.75098995049,1.0,1.0,True,0,0.7009012000635266,2.5241834999760613
large,no_route_arc_tokens,PPO,0.00_1.00,30261.408023000007,2053.8653122673177,1.0,1.0,2053.8653122673177,1.0,1.0,True,0,0.6989345999900252,2.5241834999760613
