method,model_id,test_scale,instance_index,preference_id,cost_weight,risk_weight,expected_restarts,observed_restarts,feasible_rate,all_restarts_feasible,terminal_clear_rate,technical_failure_rate,missing_rate,runtime_seconds,successful_runtime_seconds_conditional,failed_runtime_seconds_conditional,solver_status,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk
ga,GA,Test-2,39,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,3.3941776000040895,3.3941776000040895,,completed,1971.7047679999998,39.22997891034054,0.6110431620830062,0.7188886509132849,1971.7047679999998,0.6110431620830062,150.0,1316.1689999999999,505.535768,12.208346079622814,1.1659718307177276,25.855661,0.0
ga,GA,Test-2,40,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.430693466643182,3.430693466643182,,completed,2260.9227616666667,31.946492938042734,0.868742297529686,0.7937890139350355,31.946492938042734,0.7937890139350355,166.66666666666666,1555.093,539.1630949999999,8.036482295594555,0.4610436424481767,23.448966999999996,0.0
ga,GA,Test-2,40,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,3.186884433341523,3.186884433341523,,completed,2098.363095,31.682769098065254,0.8062799875825934,0.7872361479508765,548.352850573549,0.7919971078588057,150.0,1409.1999999999998,539.163095,7.76533445468642,0.4684676433788386,23.448966999999996,0.0
ga,GA,Test-2,40,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,2.8087745333323255,2.8087745333323255,,completed,2049.9210949999997,32.67380270754205,0.787666519183562,0.8118608099808758,1041.2974488537711,0.7997636645822189,150.0,1360.758,539.1630949999999,8.749099887569246,0.475735819972809,23.448966999999996,0.0
ga,GA,Test-2,40,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,3.1985262999854362,3.1985262999854362,,completed,1940.8180949999999,34.4805774614491,0.7457445249896909,0.8567545625780101,1464.233715615362,0.7734970343867706,150.0,1251.655,539.1630949999999,10.411849565958065,0.6197608954910411,23.448966999999996,0.0
ga,GA,Test-2,40,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,2.6987461000292874,2.6987461000292874,,completed,1980.4470949999998,38.45014508742246,0.760971665470786,0.9553882115885889,1980.4470949999998,0.760971665470786,150.0,1291.2839999999999,539.1630949999999,14.099610786538927,0.901567300883535,23.448966999999996,0.0
ga,GA,Test-2,41,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.0640155999766043,3.0640155999766043,,completed,2531.5052100000003,34.04468124002289,0.8052137417268513,0.6213903458228466,34.04468124002289,0.6213903458228466,150.0,2088.333,293.17221,8.177787061811495,0.7515831782114,25.115310999999995,0.0
ga,GA,Test-2,41,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,3.099182333331555,3.099182333331555,,completed,2350.65521,36.90909147595951,0.7476895049146739,0.6736721355843169,615.3456211069696,0.6921764779169063,150.0,1907.483,293.17220999999995,10.88228187554801,0.9114986004115,25.115310999999995,0.0
ga,GA,Test-2,41,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,2.8625043000405035,2.8625043000405035,,completed,2262.15521,36.41290609307218,0.7195396848545261,0.6646156605217122,1149.284058046536,0.6920776726881191,150.0,1818.983,293.17221,10.057766328294987,1.2398287647772,25.115310999999995,0.0
ga,GA,Test-2,41,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,2.961756333281907,2.961756333281907,,completed,2237.07121,37.13274417774904,0.7115610398105856,0.6777542895257622,1687.0865935444372,0.7031093522393798,150.0,1793.8989999999997,293.17221,10.667978345443343,1.3494548323057003,25.115310999999995,0.0
