model_id,test_scale,instance_index,preference_id,ppo_j,ga_j,delta_j_percent
Train-L,Test-1,11,C000-R100,0.33685121464132034,0.6393703169696945,47.315162168016826
Train-L,Test-1,11,C025-R075,0.6556194708567502,0.6942512914423662,5.564529884468071
Train-L,Test-1,11,C050-R050,0.6513624665467647,0.7404271052060382,12.028819316992662
Train-L,Test-1,11,C075-R025,0.6650658211524699,0.794706937070607,16.313072136504946
Train-L,Test-1,11,C100-R000,0.7077021817574654,0.824011378378385,14.11499885472584
Train-L,Test-1,12,C000-R100,0.1824271241136267,0.4454882429214493,59.05006989246332
Train-L,Test-1,12,C025-R075,0.4070398162247419,0.497759790404656,18.225653403253588
Train-L,Test-1,12,C050-R050,0.5138560179409657,0.5779724568910393,11.093338131536768
Train-L,Test-1,12,C075-R025,0.5653547778254308,0.5940046681803745,4.823175959661636
Train-L,Test-1,12,C100-R000,0.6059890197313916,0.6449198511193105,6.036537923332839
Train-L,Test-1,13,C000-R100,0.31163257194604493,0.7619786290186318,59.10218999876636
Train-L,Test-1,13,C025-R075,0.6925675287282559,0.7813672972947888,11.364664079744712
Train-L,Test-1,13,C050-R050,0.7955825339883239,0.7955825339883239,0.0
Train-L,Test-1,13,C075-R025,0.809797770681859,0.809797770681859,0.0
Train-L,Test-1,13,C100-R000,0.8226122732055036,0.8226122732055036,0.0
Train-L,Test-1,14,C000-R100,0.2577107065658575,0.9996175710365994,74.21906996906702
Train-L,Test-1,14,C025-R075,0.7056765062544895,1.0,29.43234937455105
Train-L,Test-1,14,C050-R050,0.954031894347426,1.0,4.596810565257403
Train-L,Test-1,14,C075-R025,1.0,1.0,0.0
Train-L,Test-1,14,C100-R000,1.0,1.0,0.0
Train-L,Test-1,15,C000-R100,0.22400615528406306,0.7428687690753201,69.84579718395041
Train-L,Test-1,15,C025-R075,0.5119723813891974,0.7457204447365638,31.3452668486166
Train-L,Test-1,15,C050-R050,0.6429159462455377,0.762911197861245,15.72860012437928
Train-L,Test-1,15,C075-R025,0.6355218170235143,0.7643247922337458,16.851864092201396
Train-L,Test-1,15,C100-R000,0.6175670281802891,0.7094821928652819,12.955246179440882
