method,model_id,instance_index,preference_id,weighted_objective_normalized,milp_j,milp_status,gap_percent
ga,GA,32,C025-R075,0.7660315625726274,0.634703873190233,solver_status_1,
ga,GA,32,C050-R050,0.8409039426922051,0.8001176617487484,optimal,5.097535386772195
ga,GA,32,C075-R025,0.86512119899588,0.8548004980144052,optimal,1.2073812550938565
ga,GA,32,C100-R000,0.8985221676961811,0.8985221676961811,optimal,0.0
ga,GA,33,C000-R100,0.7061549049881127,0.1507317581930279,solver_status_1,
ga,GA,33,C025-R075,0.7771650945625826,0.5362777722669397,solver_status_1,
ga,GA,33,C050-R050,0.828271034948485,0.7703134010377735,solver_status_1,
ga,GA,33,C075-R025,0.8476475452278708,0.7806909574262791,optimal,8.576580420801706
ga,GA,33,C100-R000,0.7875007379826001,0.7875007379826001,optimal,0.0
ga,GA,34,C000-R100,0.640052232447588,0.2903287857691146,solver_status_1,
ga,GA,34,C025-R075,0.6671860378868827,0.5108526922606733,solver_status_1,
ga,GA,34,C050-R050,0.6801807961525355,0.6513186400104858,optimal,4.4313419529318265
ga,GA,34,C075-R025,0.6823723898601367,0.655416886390702,optimal,4.112726423311324
ga,GA,34,C100-R000,0.6845639835677382,0.6374778009676826,optimal,7.386325065528464
ga,GA,35,C000-R100,0.7543893209321081,0.12666003828830438,solver_status_1,
ga,GA,35,C025-R075,0.7942228710473168,0.4810671784921001,solver_status_1,
ga,GA,35,C050-R050,0.820574217844769,0.7530042311579838,solver_status_1,
ga,GA,35,C075-R025,0.8309870196908218,0.8078027607891589,optimal,2.8700395724091976
ga,GA,35,C100-R000,0.8413998215368745,0.8088385402061159,optimal,4.025683707215666
ga,GA,36,C000-R100,0.8087291951672401,0.1830796453157224,solver_status_1,
ga,GA,36,C025-R075,0.8505269340295137,0.5638957243929125,solver_status_1,
ga,GA,36,C050-R050,0.8784509997751323,0.7616158063253149,solver_status_1,
ga,GA,36,C075-R025,0.89363908683923,0.8936390868392265,solver_status_1,
ga,GA,36,C100-R000,0.8868776354358926,0.8868776354358193,optimal,8.262100282780555e-12
ga,GA,37,C000-R100,0.6816323744053586,0.3068765991061298,solver_status_1,
ga,GA,37,C025-R075,0.7519532692292484,0.8636600429879381,solver_status_1,
ga,GA,37,C050-R050,0.8076102718109195,0.8076102718109073,optimal,1.5121716126136801e-12
ga,GA,37,C075-R025,0.8629709498740444,0.862970949874057,optimal,-1.453759269659677e-12
ga,GA,37,C100-R000,0.9183316279371695,0.9183316279369781,optimal,2.0842410695944393e-11
ga,GA,38,C000-R100,0.9854003797976069,0.3328439221498572,solver_status_1,
ga,GA,38,C025-R075,1.0,0.7729044243275907,solver_status_1,
ga,GA,38,C050-R050,1.0,1.0042264366679963,solver_status_1,
ga,GA,38,C075-R025,1.0,0.9694594395839872,optimal,3.1502669600203537
ga,GA,38,C100-R000,1.0,0.9721264341150895,optimal,2.8672778464545474
ga,GA,39,C000-R100,0.7774120931207046,0.20220104259815594,solver_status_1,
ga,GA,39,C025-R075,0.832811015386845,0.5661161542903606,solver_status_1,
ga,GA,39,C050-R050,0.8669290783450627,0.7598929931603637,solver_status_1,
ga,GA,39,C075-R025,0.9010471413032807,0.8766193529631175,optimal,2.7865901268997977
ga,GA,39,C100-R000,0.9351652042614983,0.9017246911240552,optimal,3.7085058739777286
ga,GA,40,C000-R100,0.42729442124805117,0.1805962511271216,solver_status_1,
ga,GA,40,C025-R075,0.5461599139954937,0.45515012851263925,solver_status_1,
ga,GA,40,C050-R050,0.6526764289948837,0.6027829744933294,optimal,8.27718376476912
ga,GA,40,C075-R025,0.7868057419015452,0.7091645401376844,optimal,10.948263395796236
ga,GA,40,C100-R000,0.8734083761978247,0.8155461057820392,optimal,7.094911005711997
ga,GA,41,C000-R100,0.6821037937628235,0.2234383251354146,solver_status_1,
ga,GA,41,C025-R075,0.7591146152184539,0.5426629640802217,solver_status_1,
ga,GA,41,C050-R050,0.7774675811211362,0.716614746457827,optimal,8.491708405960145
ga,GA,41,C075-R025,0.7652777992301347,0.7652777992301346,optimal,1.4507451094779373e-14
ga,GA,41,C100-R000,0.7530880173391331,0.7530880173392663,optimal,-1.769072935534441e-11
ga,GA,42,C000-R100,0.6395473799647888,0.1575342142702226,solver_status_1,
ga,GA,42,C025-R075,0.686671406467091,0.41868350363520845,solver_status_1,
ga,GA,42,C050-R050,0.757138149426309,0.5940143671790025,solver_status_1,
ga,GA,42,C075-R025,0.7796737794882448,0.6556717537802448,optimal,18.912211025268686
