scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,fallback_used,fallback_reason,runtime_seconds,ppo_train_time,solver_status,gap_percent,gap_baseline
small,0,0.50_0.50,PPO,1388.908713,5.145124879056174,0.9117230103959161,0.7304732891176393,697.0269189395281,0.8210981497567778,0.8210981497567778,1523.3888989999998,7.043549648846332,150.0,1055.952,182.95671299999998,1.0540698790561729,0.0,4.091055000000001,0.0,True,0,False,,1.185290199937299,92.13582550000865,,11.907258022669756,MILP
small,0,0.50_0.50,MILP,1707.0876770000048,2.443239904296669,1.1205856089148283,0.34687622379390043,854.7654584521507,0.7337309163543644,0.7337309163543644,1523.3888989999998,7.043549648846332,250.0,1266.0149999999999,191.0726770000049,0.9471994821814909,0.1505394221153402,1.3455009999998375,0.0,True,0,False,,164.194577199989,,optimal,0.0,MILP
small,0,0.25_0.75,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,386.1298869866347,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,3.5999109968543053e-06,,,,
small,0,0.25_0.75,GA,1523.3888989999998,7.043549648846332,1.0,1.0,386.1298869866347,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,2.8242476999294013,,,,
small,0,0.25_0.75,PPO,1388.908713,5.145124879056174,0.9117230103959161,0.7304732891176393,351.0860219092921,0.7757857194372085,0.7757857194372085,1523.3888989999998,7.043549648846332,150.0,1055.952,182.95671299999998,1.0540698790561729,0.0,4.091055000000001,0.0,True,0,False,,1.165324000059627,92.13582550000865,,,
small,0,0.25_0.75,MILP,2145.4496770000014,1.517930904296851,1.4083401017352442,0.2155065244049886,537.500867428223,0.5137149187375525,0.5137149187375525,1523.3888989999998,7.043549648846332,300.0,1654.377,191.07267700000125,0.9471994821815091,0.1505394221153418,0.420192,0.0,True,0,False,,180.04796250001527,,solver_status_1,,
small,0,0.00_1.00,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,7.043549648846332,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,3.300025127828121e-06,,,,
small,0,0.00_1.00,GA,1523.3888989999998,7.043549648846332,1.0,1.0,7.043549648846332,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,2.9450295999413356,,,,
small,0,0.00_1.00,PPO,1441.048713,5.139734505657806,0.9459493330599622,0.7297079969471993,5.139734505657806,0.7297079969471993,0.7297079969471993,1523.3888989999998,7.043549648846332,150.0,1108.0919999999999,182.95671299999998,1.0486795056578049,0.0,4.091055000000001,0.0,True,0,False,,1.1350532999495044,92.13582550000865,,,
small,0,0.00_1.00,MILP,2950.00671299994,1.0383659098017368,1.9364764407410457,0.14742082636867784,1.0383659098017368,0.14742082636867784,0.14742082636867784,1523.3888989999998,7.043549648846332,300.0,2467.0499999999993,182.95671299994112,1.0383659098017368,0.0,0.0,0.0,True,0,False,,180.04805410001427,,solver_status_1,,
large,0,1.00_0.00,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,30353.908341999995,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,False,,8.500064723193645e-06,,,46.09439294696624,PPO
large,0,1.00_0.00,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,31357.173342,1.033052251087278,1.033052251087278,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,False,,25.99018690001685,,,50.923141505092815,PPO
large,0,1.00_0.00,PPO,20776.915342,1310.6209377022924,0.6844889662281634,0.740365973429309,20776.915342,0.6844889662281634,0.6844889662281634,30353.908341999995,1770.233890722467,300.0,18693.414,1783.501342,834.7742930426053,241.43540565968715,234.411239,0.0,True,0,False,,4.076330200070515,248.0042537000263,,0.0,PPO
large,0,0.75_0.25,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,23207.989729180612,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,False,,4.399917088449001e-06,,,46.43999545171144,PPO
large,0,0.75_0.25,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,23909.043189841308,0.9957561381582646,0.9957561381582646,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,False,,26.328511800034903,,,45.81852434291002,PPO
large,0,0.75_0.25,PPO,21902.461342000006,1003.3420732525684,0.7215697265480004,0.5667850324812643,16677.681524813146,0.6828735530313164,0.6828735530313164,30353.908341999995,1770.233890722467,300.0,19818.960000000006,1783.501342,610.2635233292212,158.66731092334717,234.411239,0.0,True,0,False,,4.284299100050703,248.0042537000263,,0.0,PPO
large,0,0.50_0.50,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,16062.07111636123,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,False,,7.2999391704797745e-06,,,53.54846320147529,PPO
