archive_id,instance,model,algorithm,repeat,budget,run_origin,execution_workers,execution_workers_scope,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,preference_initialization_evaluations,objective_evaluations_total_excluding_preparation
PPO-coload-70-large-r0-B252000,coload-70,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4916.131300399997,124,success,124,124,0.02001560000644531,252000,232994,771,37976,18235,37987,0,21,21,233036
PPO-coload-70-large-r1-B252000,coload-70,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4858.926635099997,93,success,93,93,0.0234234999952605,252000,232821,790,38184,18389,38191,0,21,21,232863
PPO-coload-70-large-r2-B252000,coload-70,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4883.955509399995,105,success,105,105,0.02353610000864137,252000,232789,799,37733,18412,37741,0,21,21,232831
PPO-coload-80-large-r0-B252000,coload-80,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4843.613761999994,143,success,143,143,0.012485600003856234,252000,232526,782,38021,18692,38029,0,21,21,232568
PPO-coload-80-large-r1-B252000,coload-80,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4774.026830399991,85,success,85,85,0.013038999997661449,252000,232883,792,39295,18325,39307,0,21,21,232925
PPO-coload-80-large-r2-B252000,coload-80,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4778.8694123999885,88,success,88,88,0.026124299998627976,252000,232273,682,37507,19045,37519,0,21,21,232315
PPO-coload-120-large-r0-B252000,coload-120,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4770.9081655000045,104,success,104,104,0.016080200002761558,252000,232337,783,38711,18880,38720,0,21,21,232379
PPO-coload-120-large-r1-B252000,coload-120,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4760.5037514,116,success,116,116,0.0202617999893846,252000,232661,766,37450,18573,37461,0,21,21,232703
PPO-coload-120-large-r2-B252000,coload-120,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4434.064699499999,71,success,71,71,0.01327220001257956,252000,233078,750,39852,18172,39865,0,21,21,233120
PPO-coload-130-large-r0-B252000,coload-130,large,PPO,0,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4397.2318983000005,115,success,115,115,0.012972099997568876,252000,232543,790,40605,18667,40624,0,21,21,232585
PPO-coload-130-large-r1-B252000,coload-130,large,PPO,1,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4385.054762,85,success,85,85,0.023186799997347407,252000,233005,772,38753,18223,38764,0,21,21,233047
PPO-coload-130-large-r2-B252000,coload-130,large,PPO,2,252000,v11_new_inference,16,per_entry_configuration_not_global_peak,4356.698900400006,86,success,86,86,0.022325500001898035,252000,232282,778,38995,18940,39009,0,21,21,232324
