archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-small-r1-B252000,Test-1,small,1,11,"(0.55, 0.44999999999999996)",12000,1328,10672,positive_probability_action_space_exhausted,167,2.1373796999978367,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,12,"(0.6, 0.4)",12000,1649,10351,positive_probability_action_space_exhausted,207,2.7847351000091294,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,13,"(0.65, 0.35)",12000,1324,10676,positive_probability_action_space_exhausted,166,2.1240768999996362,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,14,"(0.7, 0.30000000000000004)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.687457699998049,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,15,"(0.75, 0.25)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7602624999999534,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,16,"(0.8, 0.19999999999999996)",12000,1215,10785,positive_probability_action_space_exhausted,152,1.8342094999970868,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,17,"(0.85, 0.15000000000000002)",12000,1191,10809,positive_probability_action_space_exhausted,149,1.7735096999967936,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,18,"(0.9, 0.09999999999999998)",12000,1359,10641,positive_probability_action_space_exhausted,170,2.2192404000088573,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,19,"(0.95, 0.050000000000000044)",12000,1401,10599,positive_probability_action_space_exhausted,176,2.224217499999213,1,1
PPO-Test-1-small-r1-B252000,Test-1,small,1,20,"(1.0, 0.0)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.777348499992513,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,0,"(0.0, 1.0)",12000,1181,10819,positive_probability_action_space_exhausted,148,2.0233581000065897,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,1,"(0.05, 0.95)",12000,1177,10823,positive_probability_action_space_exhausted,148,1.9098500999971293,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,2,"(0.1, 0.9)",12000,1159,10841,positive_probability_action_space_exhausted,145,1.9044987999950536,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,3,"(0.15, 0.85)",12000,1177,10823,positive_probability_action_space_exhausted,148,2.0124262000026647,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,4,"(0.2, 0.8)",12000,1146,10854,positive_probability_action_space_exhausted,144,1.8887163000035798,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,5,"(0.25, 0.75)",12000,1180,10820,positive_probability_action_space_exhausted,148,1.9222164999955567,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,6,"(0.3, 0.7)",12000,1162,10838,positive_probability_action_space_exhausted,146,1.970811799998046,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,7,"(0.35, 0.65)",12000,1137,10863,positive_probability_action_space_exhausted,143,1.8023411000031047,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,8,"(0.4, 0.6)",12000,1157,10843,positive_probability_action_space_exhausted,145,1.8786734000022989,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,9,"(0.45, 0.55)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7125108000036562,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,10,"(0.5, 0.5)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7658468000008725,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,11,"(0.55, 0.44999999999999996)",12000,1162,10838,positive_probability_action_space_exhausted,146,1.9618934000027366,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,12,"(0.6, 0.4)",12000,1116,10884,positive_probability_action_space_exhausted,140,1.8598367000086,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,13,"(0.65, 0.35)",12000,1140,10860,positive_probability_action_space_exhausted,143,1.830664599998272,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,14,"(0.7, 0.30000000000000004)",12000,1132,10868,positive_probability_action_space_exhausted,142,1.725463499999023,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,15,"(0.75, 0.25)",12000,1124,10876,positive_probability_action_space_exhausted,141,1.7857970999903046,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,16,"(0.8, 0.19999999999999996)",12000,1144,10856,positive_probability_action_space_exhausted,144,1.8386693999927957,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,17,"(0.85, 0.15000000000000002)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.793064500001492,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,18,"(0.9, 0.09999999999999998)",12000,1175,10825,positive_probability_action_space_exhausted,147,1.7922099999996135,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,19,"(0.95, 0.050000000000000044)",12000,1135,10865,positive_probability_action_space_exhausted,142,1.769083799998043,1,1
PPO-Test-1-large-r1-B252000,Test-1,large,1,20,"(1.0, 0.0)",12000,1189,10811,positive_probability_action_space_exhausted,149,1.7818451000057394,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,0,"(0.0, 1.0)",12000,1391,10609,positive_probability_action_space_exhausted,174,2.3045107000070857,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,1,"(0.05, 0.95)",12000,1473,10527,positive_probability_action_space_exhausted,185,2.393111500001396,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,2,"(0.1, 0.9)",12000,1280,10720,positive_probability_action_space_exhausted,161,2.192086399998516,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,3,"(0.15, 0.85)",12000,1343,10657,positive_probability_action_space_exhausted,168,2.185352699991199,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,4,"(0.2, 0.8)",12000,1379,10621,positive_probability_action_space_exhausted,173,2.126064000010956,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,5,"(0.25, 0.75)",12000,1520,10480,positive_probability_action_space_exhausted,191,2.598990700003924,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,6,"(0.3, 0.7)",12000,1249,10751,positive_probability_action_space_exhausted,157,2.036020200001076,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,7,"(0.35, 0.65)",12000,1492,10508,positive_probability_action_space_exhausted,187,2.4240983000054257,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,8,"(0.4, 0.6)",12000,1251,10749,positive_probability_action_space_exhausted,157,2.1955748999898788,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,9,"(0.45, 0.55)",12000,1420,10580,positive_probability_action_space_exhausted,178,2.2646129000058863,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,10,"(0.5, 0.5)",12000,1212,10788,positive_probability_action_space_exhausted,152,1.9778705000062473,1,1
PPO-Test-1-small-r2-B252000,Test-1,small,2,11,"(0.55, 0.44999999999999996)",12000,1167,10833,positive_probability_action_space_exhausted,146,1.8059945999993943,1,1
