scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,runtime_seconds,ppo_train_time,solver_status
small,0,0.25_0.75,Heuristic,1792.827308,11.610967373272793,1.0,1.0,456.91505252995455,1.0,1.0,1792.827308,11.610967373272793,150.0,1550.529,92.298308,6.127603153196568,0.11843122007622399,5.364933000000001,0.0,True,0,3.700028173625469e-06,,
small,0,0.25_0.75,GA,1792.8273079999997,10.044148361498333,0.9999999999999999,0.8650569791987264,455.73993827112366,0.8987927343990447,0.8987927343990447,1792.827308,11.610967373272793,150.0,1550.5289999999998,92.29830799999999,4.599313456847581,0.079901904650752,5.364933000000001,0.0,True,0,2.617643399978988,,
small,0,0.25_0.75,PPO,1792.827308,9.95957768703309,1.0,0.8577732902737264,455.67651026527477,0.8933299677052948,0.8933299677052948,1792.827308,11.610967373272793,150.0,1550.529,92.298308,4.526195464704768,0.06844922232832,5.364933000000001,0.0,True,0,0.30290709994733334,1.7817793000722304,
small,0,0.25_0.75,MILP,1792.8273079999997,9.959577687033084,0.9999999999999999,0.857773290273726,455.6765102652747,0.8933299677052945,0.8933299677052945,1792.827308,11.610967373272793,150.0,1550.5289999999998,92.29830799999999,4.526195464704773,0.06844922232832001,5.364932999999991,0.0,True,0,22.731315199984238,,optimal
small,0,0.00_1.00,Heuristic,1792.827308,11.610967373272793,1.0,1.0,11.610967373272793,1.0,1.0,1792.827308,11.610967373272793,150.0,1550.529,92.298308,6.127603153196568,0.11843122007622399,5.364933000000001,0.0,True,0,3.200024366378784e-06,,
small,0,0.00_1.00,GA,1930.6653079999996,9.677231520054022,1.0768830323952203,0.8334560944792573,9.677231520054022,0.8334560944792573,0.8334560944792573,1792.827308,11.610967373272793,150.0,1688.3669999999997,92.29830799999999,4.280693566927622,0.03160495312640001,5.364933000000001,0.0,True,0,2.749591000028886,,
small,0,0.00_1.00,PPO,2056.7193079999997,9.661173880313777,1.1471932064078085,0.8320731227402093,9.661173880313777,0.8320731227402093,0.8320731227402093,1792.827308,11.610967373272793,150.0,1814.4209999999998,92.298308,4.230383300998961,0.065857579314816,5.364933000000001,0.0,True,0,0.3671178000513464,1.7817793000722304,
small,0,0.00_1.00,MILP,3594.651308,4.326618314570617,2.005018158726083,0.3726320275888494,4.326618314570617,0.3726320275888494,0.3726320275888494,1792.827308,11.610967373272793,300.0,3202.353,92.298308,4.281125103582458,0.045493210988160025,0.0,0.0,True,0,60.043222600012086,,solver_status_1
large,0,1.00_0.00,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,30353.908341999995,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,1.279998105019331e-05,,
large,0,1.00_0.00,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,31357.173342,1.033052251087278,1.033052251087278,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,23.362720300094225,,
