scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,runtime_seconds,ppo_train_time,solver_status,gap_to_milp_percent,gap_to_ppo_percent
small,0,0.50_0.50,MILP,1368.2770410000069,11.022627065092973,0.667814893663222,0.7118862876168008,689.64983403255,0.6898505906400114,0.6898505906400114,2048.886681,15.483690663566074,150.0,1101.1889999999999,117.0880410000071,4.606873148621993,0.20995891647097978,6.205794999999999,0.0,True,0,60.093856000108644,,solver_status_1,,-6.02925813646816
small,0,0.25_0.75,Heuristic,2048.886681,15.483690663566074,1.0,1.0,523.8344382476746,1.0,1.0,2048.886681,15.483690663566074,150.0,1782.744,116.14268100000001,8.771234097056988,0.506661566509086,6.205795,0.0,True,0,8.999952115118504e-06,,,,23.804019495889854
small,0,0.25_0.75,GA,1585.3656810000002,13.217777756665438,0.7737693332196541,0.8536580873297575,406.2547535674991,0.8336858988022317,0.8336858988022317,2048.886681,15.483690663566074,150.0,1319.2230000000002,116.14268099999998,6.78675354193064,0.22522921473479698,6.205795,0.0,True,0,8.867811299976893,,,,3.2136652687599443
small,0,0.25_0.75,PPO,2053.205681,11.503375188206387,1.0021079740719931,0.7429349654520304,521.9289516411548,0.8077282176070211,0.8077282176070211,2048.886681,15.483690663566074,200.0,1737.063,116.14268100000001,5.16602750316654,0.13155268503984602,6.205795,0.0,True,0,0.41449880006257445,1.5150849999627098,,,0.0
small,0,0.25_0.75,MILP,1368.2770374163663,11.022626926292896,0.6678148919141548,0.7118862786525249,350.3362295488112,0.7008684319679324,0.7008684319679324,2048.886681,15.483690663566074,150.0,1101.189,117.08803741636613,4.606873020422771,0.20995890587012517,6.205794999999999,0.0,True,0,60.08385689998977,,solver_status_1,,-13.22967098458835
small,0,0.00_1.00,Heuristic,2048.886681,15.483690663566074,1.0,1.0,15.483690663566074,1.0,1.0,2048.886681,15.483690663566074,150.0,1782.744,116.14268100000001,8.771234097056988,0.506661566509086,6.205795,0.0,True,0,3.2999087125062943e-06,,,,50.742732146087356
small,0,0.00_1.00,GA,1693.569681,10.55825042915514,0.8265804530358016,0.681894947307314,10.55825042915514,0.681894947307314,0.681894947307314,2048.886681,15.483690663566074,150.0,1427.427,116.14268099999998,4.2046746429245285,0.14778078623061,6.205795,0.0,True,0,8.841042899992317,,,,2.7907073937167888
small,0,0.00_1.00,PPO,2012.126681,10.271600125013368,0.9820585489959559,0.6633818995869618,10.271600125013368,0.6633818995869618,0.6633818995869618,2048.886681,15.483690663566074,200.0,1695.984,116.14268099999998,3.983306147975016,0.08249897703835199,6.205795,0.0,True,0,0.4250172999454662,1.5150849999627098,,,0.0
small,0,0.00_1.00,MILP,3481.3070000000007,7.036875914835541,1.6991212995249105,0.45447019497707186,7.036875914835541,0.45447019497707186,0.45447019497707186,2048.886681,15.483690663566074,400.0,2946.405,134.90200000000038,6.265067958277072,0.24243295655846875,0.529375,0.0,True,0,60.08292249997612,,solver_status_1,,-31.491921130191162
large,0,1.00_0.00,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,30353.908341999995,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,2.4499953724443913e-05,,,,49.49311039121894
large,0,1.00_0.00,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,31357.173342,1.033052251087278,1.033052251087278,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,24.471586099942215,,,,54.43419421168767
large,0,1.00_0.00,PPO,20304.553342,1175.9952152852268,0.6689271481361451,0.6643162925805698,20304.553342,0.6689271481361451,0.6689271481361451,30353.908341999995,1770.233890722467,300.0,18221.052,1783.501342,728.115564660931,213.4684116242959,234.411239,0.0,True,0,2.2830965999746695,4.865923400036991,,,0.0
large,0,0.75_0.25,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,23207.989729180612,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,3.2999087125062943e-06,,,,49.161472500585994
large,0,0.75_0.25,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,23909.043189841308,0.9957561381582646,0.9957561381582646,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,25.519865700043738,,,,48.528451819183694
large,0,0.75_0.25,PPO,21495.916341999993,986.248527045761,0.7081762288995449,0.5571289377152607,16368.499388261434,0.6704144061034738,0.6704144061034738,30353.908341999995,1770.233890722467,300.0,19412.414999999994,1783.501342,603.7414992651509,148.09578878061,234.411239,0.0,True,0,2.5484253999311477,4.865923400036991,,,0.0
large,0,0.50_0.50,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,16062.07111636123,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,1.079996582120657e-05,,,,60.70785835657484
large,0,0.50_0.50,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,16460.913037682614,0.958460025229251,0.958460025229251,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,25.386626800056547,,,,54.03205797498162
large,0,0.50_0.50,PPO,22388.973341999998,897.3253684478863,0.7375977119566147,0.5068965028579756,11643.149355223943,0.6222471074072952,0.6222471074072952,30353.908341999995,1770.233890722467,350.0,20255.471999999998,1783.501342,535.6101520220392,127.30397742584705,234.411239,0.0,True,0,2.0795136999804527,4.865923400036991,,,0.0
large,0,0.25_0.75,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,8916.152503541849,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,2.600019797682762e-06,,,,87.0589575394112
large,0,0.25_0.75,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,9012.78288552392,0.9211639123002375,0.9211639123002375,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,29.003356199944392,,,,72.31196115780803
large,0,0.25_0.75,PPO,25515.407342000006,765.7832054591445,0.8405971005287294,0.4325887158033187,6953.18923959436,0.5345908119846714,0.5345908119846714,30353.908341999995,1770.233890722467,400.0,23331.906000000006,1783.501342,431.64068516314967,99.73128129599485,234.411239,0.0,True,0,2.9842400000197813,4.865923400036991,,,0.0
large,0,0.00_1.00,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,1770.233890722467,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.406999999996,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,1.5700003132224083e-05,,,,118.69168664326119
large,0,0.00_1.00,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,1564.652733365227,0.8838677993712242,0.8838677993712242,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,22.9802922999952,,,,93.29453981416063
large,0,0.00_1.00,PPO,27333.155342000005,809.4655621775622,0.9004822388614699,0.4572647526520936,809.4655621775622,0.4572647526520936,0.4572647526520936,30353.908341999995,1770.233890722467,400.0,25149.654000000006,1783.501342,462.6323741315281,112.42194904603414,234.411239,0.0,True,0,2.0514484000159428,4.865923400036991,,,0.0
