experiment,method,method_id,model_id,test_scale,preference_id,preference,risk_mean,risk_sd,risk_n,risk_mean_sd,solver_status_scope,transport_risk_mean,transport_risk_sd,transport_risk_pct_share,transport_risk_mean_sd_share,coload_risk_mean,coload_risk_sd,coload_risk_pct_share,coload_risk_mean_sd_share,producer_inventory_risk_mean,producer_inventory_risk_sd,producer_inventory_risk_pct_share,producer_inventory_risk_mean_sd_share,facility_inventory_risk_mean,facility_inventory_risk_sd,facility_inventory_risk_pct_share,facility_inventory_risk_mean_sd_share
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C050-R050,"(0.5,0.5)",647.0769857,54.56602544,50,647.077 ± 54.566,,240.8101673,47.31948851,37.21507218,240.810 ± 47.319 (37.2%),56.41077828,16.6672849,8.717784672,56.411 ± 16.667 (8.7%),349.8560402,18.06408129,54.06714315,349.856 ± 18.064 (54.1%),0,0,0,0.000 ± 0.000 (0.0%)
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C025-R075,"(0.25,0.75)",568.108489,54.14490385,50,568.108 ± 54.145,,203.5983051,41.01714307,35.83792692,203.598 ± 41.017 (35.8%),42.49627768,13.27319382,7.480310275,42.496 ± 13.273 (7.5%),322.0139062,18.25423253,56.68176281,322.014 ± 18.254 (56.7%),0,0,0,0.000 ± 0.000 (0.0%)
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C000-R100,"(0,1)",488.0224941,48.04118781,50,488.022 ± 48.041,,201.021265,34.96552275,41.1909835,201.021 ± 34.966 (41.2%),38.58742962,12.38707775,7.906895704,38.587 ± 12.387 (7.9%),248.4137994,14.69501481,50.90212079,248.414 ± 14.695 (50.9%),0,0,0,0.000 ± 0.000 (0.0%)
E2,GA,ga,GA,Test-4,C100-R000,"(1,0)",1065.538742,134.2942614,50,1065.539 ± 134.294,,558.9688802,112.3223397,52.45880398,558.969 ± 112.322 (52.5%),150.3723543,48.93199971,14.112331,150.372 ± 48.932 (14.1%),356.1975079,17.83559413,33.42886502,356.198 ± 17.836 (33.4%),0,0,0,0.000 ± 0.000 (0.0%)
E2,GA,ga,GA,Test-4,C075-R025,"(0.75,0.25)",970.8677859,111.5257527,50,970.868 ± 111.526,,488.8197841,91.04292304,50.34874894,488.820 ± 91.043 (50.3%),125.8504939,43.16871027,12.96268099,125.850 ± 43.169 (13.0%),356.1975079,17.83559413,36.68857007,356.198 ± 17.836 (36.7%),0,0,0,0.000 ± 0.000 (0.0%)
E2,GA,ga,GA,Test-4,C050-R050,"(0.5,0.5)",932.0254658,113.2924382,50,932.025 ± 113.292,,460.9839778,92.90864897,49.46044874,460.984 ± 92.909 (49.5%),114.8439801,41.7715563,12.32197878,114.844 ± 41.772 (12.3%),356.1975079,17.83559413,38.21757248,356.198 ± 17.836 (38.2%),0,0,0,0.000 ± 0.000 (0.0%)
E2,GA,ga,GA,Test-4,C025-R075,"(0.25,0.75)",922.5508376,110.6278309,50,922.551 ± 110.628,,455.4744162,90.67257729,49.37119968,455.474 ± 90.673 (49.4%),110.8789134,40.69420521,12.01873208,110.879 ± 40.694 (12.0%),356.1975079,17.83559413,38.61006824,356.198 ± 17.836 (38.6%),0,0,0,0.000 ± 0.000 (0.0%)
E2,GA,ga,GA,Test-4,C000-R100,"(0,1)",909.8351314,105.2727299,50,909.835 ± 105.273,,448.6720874,88.70756985,49.31355934,448.672 ± 88.708 (49.3%),104.9655361,38.70817488,11.53676446,104.966 ± 38.708 (11.5%),356.1975079,17.83559413,39.1496762,356.198 ± 17.836 (39.1%),0,0,0,0.000 ± 0.000 (0.0%)
E2,启发式,heuristic,Heuristic,Test-4,C100-R000,"(1,0)",1347.125494,189.8697797,50,1347.125 ± 189.870,,781.1933705,156.7135724,57.98965087,781.193 ± 156.714 (58.0%),209.7346152,72.73161162,15.56904803,209.735 ± 72.732 (15.6%),356.1975079,17.83559413,26.4413011,356.198 ± 17.836 (26.4%),0,0,0,0.000 ± 0.000 (0.0%)
E2,启发式,heuristic,Heuristic,Test-4,C075-R025,"(0.75,0.25)",1347.125494,189.8697797,50,1347.125 ± 189.870,,781.1933705,156.7135724,57.98965087,781.193 ± 156.714 (58.0%),209.7346152,72.73161162,15.56904803,209.735 ± 72.732 (15.6%),356.1975079,17.83559413,26.4413011,356.198 ± 17.836 (26.4%),0,0,0,0.000 ± 0.000 (0.0%)
E2,启发式,heuristic,Heuristic,Test-4,C050-R050,"(0.5,0.5)",1347.125494,189.8697797,50,1347.125 ± 189.870,,781.1933705,156.7135724,57.98965087,781.193 ± 156.714 (58.0%),209.7346152,72.73161162,15.56904803,209.735 ± 72.732 (15.6%),356.1975079,17.83559413,26.4413011,356.198 ± 17.836 (26.4%),0,0,0,0.000 ± 0.000 (0.0%)
E2,启发式,heuristic,Heuristic,Test-4,C025-R075,"(0.25,0.75)",1347.125494,189.8697797,50,1347.125 ± 189.870,,781.1933705,156.7135724,57.98965087,781.193 ± 156.714 (58.0%),209.7346152,72.73161162,15.56904803,209.735 ± 72.732 (15.6%),356.1975079,17.83559413,26.4413011,356.198 ± 17.836 (26.4%),0,0,0,0.000 ± 0.000 (0.0%)
E2,启发式,heuristic,Heuristic,Test-4,C000-R100,"(0,1)",1347.125494,189.8697797,50,1347.125 ± 189.870,,781.1933705,156.7135724,57.98965087,781.193 ± 156.714 (58.0%),209.7346152,72.73161162,15.56904803,209.735 ± 72.732 (15.6%),356.1975079,17.83559413,26.4413011,356.198 ± 17.836 (26.4%),0,0,0,0.000 ± 0.000 (0.0%)
