experiment,method,method_id,model_id,test_scale,preference_id,preference,cost_mean,cost_sd,cost_mean_sd,risk_mean,risk_sd,risk_mean_sd,j_mean,j_sd,j_mean_sd,strict_feasible_percent,strict_feasible_sd_percent,terminal_clear_percent,terminal_clear_sd_percent,time_measurement,solve_segment_seconds_mean,solve_segment_seconds_sd,solve_segment_seconds_mean_sd,initialization_seconds_mean,initialization_seconds_sd,initialization_seconds_mean_sd,quality_complete_n,expected_n,gap_percent_mean,gap_percent_sd,gap_valid_n,gap_mean_sd,solver_status_scope,solve_segment_concurrency_scope,outcome_disclosure,technical_failure_instances,infeasible_instances,missing_instances,incomplete_quality_instances,technical_failure_instance_preferences,infeasible_instance_preferences,missing_instance_preferences,incomplete_quality_instance_preferences
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C025-R075,"(0.25,0.75)",15608.96778,1116.269329,15608.97 ± 1116.27,568.108489,54.14490385,568.108 ± 54.145,0.5325839017,0.02929326729,0.5326 ± 0.0293,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),37.09296702,2.641599154,37.0930 ± 2.6416,,,,50,50,,,0,—,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,PPO-Transformer (Train-L),ppo,Train-L,Test-4,C000-R100,"(0,1)",24882.7235,1692.58041,24882.72 ± 1692.58,488.0224941,48.04118781,488.022 ± 48.041,0.3647547671,0.02396352256,0.3648 ± 0.0240,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),38.09938388,2.955486275,38.0994 ± 2.9555,,,,50,50,,,0,—,,纳入最终时间口径批次=3，整批墙钟合计=18914.641s：batch1[methods=ppo; models=all; scales=all; workers=4; 该方法完成数=60; 整批墙钟=172.543s; max_cells=60; concurrent_ppo=true]；batch2[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=120; 整批墙钟=334.695s; max_cells=120; concurrent_ppo=true]；batch3[methods=ppo; models=all; scales=all; workers=8; 该方法完成数=5820; 整批墙钟=18407.403s; concurrent_ppo=true]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,GA,ga,GA,Test-4,C100-R000,"(1,0)",14687.04641,940.9286008,14687.05 ± 940.93,1065.538742,134.2942614,1065.539 ± 134.294,0.8049723453,0.0289293046,0.8050 ± 0.0289,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),18.80271423,1.102365765,18.8027 ± 1.1024,,,,50,50,,,0,—,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,GA,ga,GA,Test-4,C075-R025,"(0.75,0.25)",14885.68571,1009.3867,14885.69 ± 1009.39,970.8677859,111.5257527,970.868 ± 111.526,0.7928194905,0.03069970833,0.7928 ± 0.0307,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),18.8660591,1.15984527,18.8661 ± 1.1598,,,,50,50,,,0,—,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,GA,ga,GA,Test-4,C050-R050,"(0.5,0.5)",15362.59591,1002.76923,15362.60 ± 1002.77,932.0254658,113.2924382,932.025 ± 113.292,0.7682976329,0.03353365317,0.7683 ± 0.0335,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),18.98039371,1.273101134,18.9804 ± 1.2731,,,,50,50,,,0,—,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,GA,ga,GA,Test-4,C025-R075,"(0.25,0.75)",16016.3877,1124.521872,16016.39 ± 1124.52,922.5508376,110.6278309,922.551 ± 110.628,0.7350443623,0.03553454669,0.7350 ± 0.0355,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),18.85499431,1.356019547,18.8550 ± 1.3560,,,,50,50,,,0,—,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,GA,ga,GA,Test-4,C000-R100,"(0,1)",16505.97265,1007.765116,16505.97 ± 1007.77,909.8351314,105.2727299,909.835 ± 105.273,0.6787223455,0.04419427677,0.6787 ± 0.0442,100,0,100,0,并发条件下求解段观测时间(runtime_seconds),18.91896663,1.327326541,18.9190 ± 1.3273,,,,50,50,,,0,—,,"纳入最终时间口径批次=1，整批墙钟合计=1447.723s：batch4[methods=ga; models=GA; scales=Test-1,Test-2,Test-3,Test-4; workers=16; 该方法完成数=3000; 整批墙钟=1447.723s]；已排除superseded_for_timing历史批次=0，整批墙钟合计=0.000s：无",技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,启发式,heuristic,Heuristic,Test-4,C100-R000,"(1,0)",18252.19013,1107.242793,18252.19 ± 1107.24,1347.125494,189.8697797,1347.125 ± 189.870,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.01391365601,0.003501050338,0.0139 ± 0.0035,50,50,,,0,—,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,启发式,heuristic,Heuristic,Test-4,C075-R025,"(0.75,0.25)",18252.19013,1107.242793,18252.19 ± 1107.24,1347.125494,189.8697797,1347.125 ± 189.870,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.01391365601,0.003501050338,0.0139 ± 0.0035,50,50,,,0,—,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,启发式,heuristic,Heuristic,Test-4,C050-R050,"(0.5,0.5)",18252.19013,1107.242793,18252.19 ± 1107.24,1347.125494,189.8697797,1347.125 ± 189.870,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.01391365601,0.003501050338,0.0139 ± 0.0035,50,50,,,0,—,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,启发式,heuristic,Heuristic,Test-4,C025-R075,"(0.25,0.75)",18252.19013,1107.242793,18252.19 ± 1107.24,1347.125494,189.8697797,1347.125 ± 189.870,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.01391365601,0.003501050338,0.0139 ± 0.0035,50,50,,,0,—,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
E2,启发式,heuristic,Heuristic,Test-4,C000-R100,"(0,1)",18252.19013,1107.242793,18252.19 ± 1107.24,1347.125494,189.8697797,1347.125 ± 189.870,1,0,1.0000 ± 0.0000,100,0,100,0,测试集锁定阶段初始解构造时间(initialization_seconds),,,,0.01391365601,0.003501050338,0.0139 ± 0.0035,50,50,,,0,—,,,技术=0; 不可行=0; 缺失=0; 质量不完整=0,0,0,0,0,0,0,0,0
