archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-small-r1-B40320,Test-1,small,1,6,"(0.3, 0.7)",1920,1831,89,positive_probability_action_space_exhausted,229,2.193385999999009,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,7,"(0.35, 0.65)",1920,1788,132,positive_probability_action_space_exhausted,224,2.18703239999013,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,8,"(0.4, 0.6)",1920,1172,748,positive_probability_action_space_exhausted,147,1.283453099997132,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,9,"(0.45, 0.55)",1920,1303,617,positive_probability_action_space_exhausted,163,1.376568599996972,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,10,"(0.5, 0.5)",1920,1139,781,positive_probability_action_space_exhausted,143,1.2306176999991294,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,11,"(0.55, 0.44999999999999996)",1920,1328,592,positive_probability_action_space_exhausted,167,1.553970400011167,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,12,"(0.6, 0.4)",1920,1649,271,positive_probability_action_space_exhausted,207,1.8621034999960102,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,13,"(0.65, 0.35)",1920,1324,596,positive_probability_action_space_exhausted,166,1.410632599989185,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,14,"(0.7, 0.30000000000000004)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1617139000009047,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,15,"(0.75, 0.25)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1786636000033468,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,16,"(0.8, 0.19999999999999996)",1920,1215,705,positive_probability_action_space_exhausted,152,1.2511719000031007,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,17,"(0.85, 0.15000000000000002)",1920,1191,729,positive_probability_action_space_exhausted,149,1.2202711999998428,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,18,"(0.9, 0.09999999999999998)",1920,1359,561,positive_probability_action_space_exhausted,170,1.486764300003415,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,19,"(0.95, 0.050000000000000044)",1920,1401,519,positive_probability_action_space_exhausted,176,1.5403444999974454,1,1
PPO-Test-1-small-r1-B40320,Test-1,small,1,20,"(1.0, 0.0)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1718618999875616,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,0,"(0.0, 1.0)",1920,1181,739,positive_probability_action_space_exhausted,148,1.3531331999984104,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,1,"(0.05, 0.95)",1920,1177,743,positive_probability_action_space_exhausted,148,1.3008902000001399,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,2,"(0.1, 0.9)",1920,1159,761,positive_probability_action_space_exhausted,145,1.2964444999961415,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,3,"(0.15, 0.85)",1920,1177,743,positive_probability_action_space_exhausted,148,1.3184853999991901,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,4,"(0.2, 0.8)",1920,1146,774,positive_probability_action_space_exhausted,144,1.2862637999933213,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,5,"(0.25, 0.75)",1920,1180,740,positive_probability_action_space_exhausted,148,1.3145004999969387,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,6,"(0.3, 0.7)",1920,1162,758,positive_probability_action_space_exhausted,146,1.3346488999959547,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,7,"(0.35, 0.65)",1920,1137,783,positive_probability_action_space_exhausted,143,1.2294564000039827,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,8,"(0.4, 0.6)",1920,1157,763,positive_probability_action_space_exhausted,145,1.2901178000029176,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,9,"(0.45, 0.55)",1920,1119,801,positive_probability_action_space_exhausted,140,1.18567510000139,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,10,"(0.5, 0.5)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1751442999957362,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,11,"(0.55, 0.44999999999999996)",1920,1162,758,positive_probability_action_space_exhausted,146,1.2953321999957552,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,12,"(0.6, 0.4)",1920,1116,804,positive_probability_action_space_exhausted,140,1.204851000002236,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,13,"(0.65, 0.35)",1920,1140,780,positive_probability_action_space_exhausted,143,1.2439727000019047,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,14,"(0.7, 0.30000000000000004)",1920,1132,788,positive_probability_action_space_exhausted,142,1.2110267999960342,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,15,"(0.75, 0.25)",1920,1124,796,positive_probability_action_space_exhausted,141,1.2060296999989077,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,16,"(0.8, 0.19999999999999996)",1920,1144,776,positive_probability_action_space_exhausted,144,1.3007985000003828,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,17,"(0.85, 0.15000000000000002)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1662116999941645,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,18,"(0.9, 0.09999999999999998)",1920,1175,745,positive_probability_action_space_exhausted,147,1.229092599998694,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,19,"(0.95, 0.050000000000000044)",1920,1135,785,positive_probability_action_space_exhausted,142,1.1884501000022283,1,1
PPO-Test-1-large-r1-B40320,Test-1,large,1,20,"(1.0, 0.0)",1920,1189,731,positive_probability_action_space_exhausted,149,1.2430122000077972,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,0,"(0.0, 1.0)",1920,1391,529,positive_probability_action_space_exhausted,174,1.5650839000009,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,1,"(0.05, 0.95)",1920,1473,447,positive_probability_action_space_exhausted,185,1.6602386000013212,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,2,"(0.1, 0.9)",1920,1280,640,positive_probability_action_space_exhausted,161,1.434693300005165,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,3,"(0.15, 0.85)",1920,1343,577,positive_probability_action_space_exhausted,168,1.4781163000006927,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,4,"(0.2, 0.8)",1920,1379,541,positive_probability_action_space_exhausted,173,1.5542974999989383,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,5,"(0.25, 0.75)",1920,1520,400,positive_probability_action_space_exhausted,191,1.7261606999963988,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,6,"(0.3, 0.7)",1920,1249,671,positive_probability_action_space_exhausted,157,1.396739499992691,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,7,"(0.35, 0.65)",1920,1492,428,positive_probability_action_space_exhausted,187,1.6768974000005983,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,8,"(0.4, 0.6)",1920,1251,669,positive_probability_action_space_exhausted,157,1.362380700011272,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,9,"(0.45, 0.55)",1920,1420,500,positive_probability_action_space_exhausted,178,1.576624500012258,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,10,"(0.5, 0.5)",1920,1212,708,positive_probability_action_space_exhausted,152,1.318763899995247,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,11,"(0.55, 0.44999999999999996)",1920,1167,753,positive_probability_action_space_exhausted,146,1.258731900001294,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,12,"(0.6, 0.4)",1920,1323,597,positive_probability_action_space_exhausted,166,1.484247400003369,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,13,"(0.65, 0.35)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1554439000028651,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,14,"(0.7, 0.30000000000000004)",1920,1263,657,positive_probability_action_space_exhausted,158,1.291936000008718,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,15,"(0.75, 0.25)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1492053999972995,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,16,"(0.8, 0.19999999999999996)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1723965999990469,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,17,"(0.85, 0.15000000000000002)",1920,1319,601,positive_probability_action_space_exhausted,165,1.4179244999977527,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,18,"(0.9, 0.09999999999999998)",1920,1175,745,positive_probability_action_space_exhausted,147,1.3273429999971995,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,19,"(0.95, 0.050000000000000044)",1920,1185,735,positive_probability_action_space_exhausted,149,1.2767134000023361,1,1
PPO-Test-1-small-r2-B40320,Test-1,small,2,20,"(1.0, 0.0)",1920,1160,760,positive_probability_action_space_exhausted,146,1.2356696000060765,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,0,"(0.0, 1.0)",1920,1179,741,positive_probability_action_space_exhausted,148,1.3082617999898503,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,1,"(0.05, 0.95)",1920,1183,737,positive_probability_action_space_exhausted,148,1.349483700003475,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,2,"(0.1, 0.9)",1920,1161,759,positive_probability_action_space_exhausted,146,1.3071769000089262,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,3,"(0.15, 0.85)",1920,1163,757,positive_probability_action_space_exhausted,146,1.3241125000058673,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,4,"(0.2, 0.8)",1920,1168,752,positive_probability_action_space_exhausted,147,1.3207274000014877,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,5,"(0.25, 0.75)",1920,1179,741,positive_probability_action_space_exhausted,148,1.3496962000062922,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,6,"(0.3, 0.7)",1920,1156,764,positive_probability_action_space_exhausted,145,1.3126370999962091,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,7,"(0.35, 0.65)",1920,1116,804,positive_probability_action_space_exhausted,140,1.2146190000057686,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,8,"(0.4, 0.6)",1920,1157,763,positive_probability_action_space_exhausted,145,1.2499370000005001,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,9,"(0.45, 0.55)",1920,1329,591,positive_probability_action_space_exhausted,167,1.5205000999994809,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,10,"(0.5, 0.5)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1870791999972425,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,11,"(0.55, 0.44999999999999996)",1920,1139,781,positive_probability_action_space_exhausted,143,1.2508930999902077,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,12,"(0.6, 0.4)",1920,1136,784,positive_probability_action_space_exhausted,143,1.2340675000014016,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,13,"(0.65, 0.35)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1884805999870878,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,14,"(0.7, 0.30000000000000004)",1920,1144,776,positive_probability_action_space_exhausted,144,1.2354290999937803,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,15,"(0.75, 0.25)",1920,1116,804,positive_probability_action_space_exhausted,140,1.1952965000091353,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,16,"(0.8, 0.19999999999999996)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1730361999943852,1,1
PPO-Test-1-large-r2-B40320,Test-1,large,2,17,"(0.85, 0.15000000000000002)",1920,1119,801,positive_probability_action_space_exhausted,140,1.1720330999960424,1,1
