archive_id,instance,model,algorithm,repeat,budget,run_origin,execution_workers,execution_workers_scope,seconds,points,status,strict_feasible_points,terminal_clear_points,preparation_seconds,candidate_attempts,candidate_objective_evaluations,cache_hits,invalid_candidates,operator_failures,invalid_candidate_attempts,ppo_internal_objective_evaluations,return_validation_evaluations,preference_initialization_evaluations,objective_evaluations_total_excluding_preparation
PPO-capacity-80-large-r2-B40320,capacity-80,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,888.2619133000117,61,success,61,61,0.012681300009717233,40320,38734,34,4079,1552,4079,0,21,21,38776
PPO-capacity-120-large-r0-B40320,capacity-120,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,685.8985933000076,38,success,38,38,0.014945900009479374,40320,38587,20,1891,1713,1891,0,21,21,38629
PPO-capacity-120-large-r1-B40320,capacity-120,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,654.9699244999938,49,success,49,49,0.018381899993983097,40320,38621,15,1964,1684,1964,0,21,21,38663
PPO-capacity-120-large-r2-B40320,capacity-120,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,622.6621176000044,30,success,30,30,0.01957099999708589,40320,38616,14,1903,1690,1903,0,21,21,38658
PPO-capacity-130-large-r0-B40320,capacity-130,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,602.2610678999918,48,success,48,48,0.012688699993304908,40320,38585,17,1645,1718,1645,0,21,21,38627
PPO-capacity-130-large-r1-B40320,capacity-130,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,596.7846210999996,33,success,33,33,0.01204180000058841,40320,38562,17,1676,1741,1676,0,21,21,38604
PPO-capacity-130-large-r2-B40320,capacity-130,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,598.8272107999946,26,success,26,26,0.012628600001335144,40320,38558,23,1668,1739,1668,0,21,21,38600
PPO-coload-70-large-r0-B40320,coload-70,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,882.7854946000007,30,success,30,30,0.021282400004565716,40320,38584,24,2615,1712,2615,0,21,21,38626
PPO-coload-70-large-r1-B40320,coload-70,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,877.2301360999991,41,success,41,41,0.020522100006928667,40320,38588,20,2586,1712,2586,0,21,21,38630
PPO-coload-70-large-r2-B40320,coload-70,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,884.4056070000079,36,success,36,36,0.020661499991547316,40320,38673,30,2595,1617,2595,0,21,21,38715
PPO-coload-80-large-r0-B40320,coload-80,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,882.973410000006,34,success,34,34,0.021726299994043075,40320,38581,26,2529,1713,2529,0,21,21,38623
PPO-coload-80-large-r1-B40320,coload-80,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,885.524711799997,39,success,39,39,0.012010100006591529,40320,38619,19,2757,1682,2758,0,21,21,38661
PPO-coload-80-large-r2-B40320,coload-80,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,885.5816940000077,50,success,50,50,0.012282900002901442,40320,38607,31,2413,1682,2413,0,21,21,38649
PPO-coload-120-large-r0-B40320,coload-120,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,880.792528799997,35,success,35,35,0.012250900006620213,40320,38655,27,2581,1638,2581,0,21,21,38697
PPO-coload-120-large-r1-B40320,coload-120,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,878.8938880999922,15,success,15,15,0.02124760000151582,40320,38543,25,2718,1752,2718,0,21,21,38585
PPO-coload-120-large-r2-B40320,coload-120,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,879.8040599000087,33,success,33,33,0.012242199998581782,40320,38632,30,2709,1658,2709,0,21,21,38674
PPO-coload-130-large-r0-B40320,coload-130,large,PPO,0,40320,v9_new,1/3,per_entry_configuration_not_global_peak,882.5182169999898,29,success,29,29,0.013452500003040768,40320,38598,24,2600,1698,2601,0,21,21,38640
PPO-coload-130-large-r1-B40320,coload-130,large,PPO,1,40320,v9_new,1/3,per_entry_configuration_not_global_peak,880.0370390000026,22,success,22,22,0.012785500002792105,40320,38659,23,2607,1638,2607,0,21,21,38701
PPO-coload-130-large-r2-B40320,coload-130,large,PPO,2,40320,v9_new,1/3,per_entry_configuration_not_global_peak,878.8140482999879,34,success,34,34,0.012916199993924238,40320,38533,31,2785,1756,2786,0,21,21,38575
